episode,turn,position,recorded_token,produced_token,recorded_probability,mlx_bf16_token,bf16_cuda_agrees,source_verdict,reference_gap,reference_gap_ulps,reference_within_2_ulp,outcome_basis,probability_basis,gap_basis
agentic-d2-pointer_chain-0018,5,1669,1202,735,0.9991462230682373,735,True,quantisation,4.5,18.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
chat-long-summary,0,1743,2094,818,0.9988304972648621,818,True,quantisation,16.25,32.5,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-update-0028,10,1398,43233,87460,0.9980685114860535,87460,True,quantisation,0.25,1.0,True,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-batch_update-0166,4,1427,2818,107,0.9980661273002625,107,True,quantisation,6.125,24.5,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
chat-short-factual,0,66,496,506,0.9975274205207825,506,True,quantisation,1.0,2.0,True,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-update-0028,8,1218,43233,87460,0.9975207448005676,87460,True,quantisation,2.75,11.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-aggregate_report-0167,2,1457,900,236768,0.9972192049026489,236768,True,quantisation,5.125,20.5,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-aggregate_report-0167,2,1345,236743,14966,0.9968708157539368,14966,True,quantisation,4.5,18.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
chat-short-factual,1,150,3439,4077,0.9963636994361877,4077,True,quantisation,2.75,5.5,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
chat-long-summary,0,1836,532,2844,0.9959428906440735,2844,True,quantisation,1.5,6.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-aggregate_report-0167,2,1380,236832,236800,0.9936524629592896,236800,True,quantisation,0.625,5.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-ledger_reconcile-0163,8,1471,236778,59849,0.9924044013023376,59849,True,quantisation,2.5,10.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-aggregate_report-0167,2,1467,236832,236778,0.9916702508926392,236778,True,quantisation,6.375,51.0,False,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
agentic-d2-list-0149,0,522,107,564,0.9915077686309814,107,False,port,0.25,1.0,True,card CUDA bf16 joined to laptop MLX bf16,original laptop MLX 4-bit reference,later laptop MLX bf16 reference; actual-top1-spacing producer
